27-09-2019 10:34:59.436 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver.getClusterEndpoints - Resolving eureka endpoints via configuration
27-09-2019 10:34:59.792 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
27-09-2019 10:34:59.793 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
27-09-2019 10:34:59.794 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
27-09-2019 10:34:59.794 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
27-09-2019 10:34:59.794 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
27-09-2019 10:34:59.795 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: true
27-09-2019 10:34:59.796 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
27-09-2019 10:35:00.063 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
27-09-2019 10:35:00.066 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.initScheduledTasks - Starting heartbeat executor: renew interval is: 30
27-09-2019 10:35:00.070 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator.<init> - InstanceInfoReplicator onDemand update allowed rate per min is 4
27-09-2019 10:35:00.075 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1569598500074 with initial instances count: 0
27-09-2019 10:35:00.079 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application SPRING-STUDENT with eureka with status UP
27-09-2019 10:35:00.080 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1569598500080, current=UP, previous=STARTING]
27-09-2019 10:35:00.083 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SPRING-STUDENT/LIM-BF4WDC2.usersad.everis.int:spring-student:8084: registering service...
27-09-2019 10:35:00.083 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.start - Documentation plugins bootstrapped
27-09-2019 10:35:00.106 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper.bootstrapDocumentationPlugins - Found 1 custom documentation plugin(s)
27-09-2019 10:35:00.220 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner.scan - Scanning for api listing references
27-09-2019 10:35:00.678 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_SPRING-STUDENT/LIM-BF4WDC2.usersad.everis.int:spring-student:8084 - registration status: 204
27-09-2019 10:35:01.029 [restartedMain] INFO  o.s.b.w.e.netty.NettyWebServer.start - Netty started on port(s): 8084
27-09-2019 10:35:01.033 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 8084
27-09-2019 10:35:01.508 [restartedMain] INFO  c.e.s.app.SpringStudentApplication.logStarted - Started SpringStudentApplication in 26.962 seconds (JVM running for 28.468)
27-09-2019 10:35:30.068 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Disable delta property : false
27-09-2019 10:35:30.069 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Single vip registry refresh property : null
27-09-2019 10:35:30.069 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Force full registry fetch : false
27-09-2019 10:35:30.070 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application is null : false
27-09-2019 10:35:30.070 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Registered Applications size is zero : true
27-09-2019 10:35:30.070 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.fetchRegistry - Application version is -1: false
27-09-2019 10:35:30.071 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - Getting all instance registry info from the eureka server
27-09-2019 10:35:30.099 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient.getAndStoreFullRegistry - The response status is 200
27-09-2019 10:39:08.420 [nioEventLoopGroup-2-2] INFO  org.mongodb.driver.connection.info - Opened connection [connectionId{localValue:3, serverValue:2321}] to localhost:27017
27-09-2019 10:39:08.657 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Flor
27-09-2019 10:39:08.658 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Maria
27-09-2019 10:39:08.659 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Lucia
27-09-2019 10:39:08.661 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Mariana
27-09-2019 10:39:08.662 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Romina
27-09-2019 10:39:08.663 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Jeffer
27-09-2019 10:39:08.663 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Randyx
27-09-2019 10:39:08.664 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Robertxxx
27-09-2019 10:39:08.665 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Forlan
27-09-2019 10:39:08.666 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Alejandro
27-09-2019 10:39:08.666 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Gonzalo
27-09-2019 10:39:08.667 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Martino
27-09-2019 10:39:59.811 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver.getClusterEndpoints - Resolving eureka endpoints via configuration
27-09-2019 10:40:20.353 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Flor
27-09-2019 10:40:20.354 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Maria
27-09-2019 10:40:20.355 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Lucia
27-09-2019 10:40:20.358 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Mariana
27-09-2019 10:40:20.360 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Romina
27-09-2019 10:40:20.361 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Jeffer
27-09-2019 10:40:20.363 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Randyx
27-09-2019 10:40:20.364 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Robertxxx
27-09-2019 10:40:20.365 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Forlan
27-09-2019 10:40:20.367 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Alejandro
27-09-2019 10:40:20.368 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Gonzalo
27-09-2019 10:40:20.369 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Martino
27-09-2019 10:41:28.995 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Flor
27-09-2019 10:41:28.996 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Maria
27-09-2019 10:41:28.997 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Lucia
27-09-2019 10:41:28.997 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Mariana
27-09-2019 10:41:28.998 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Romina
27-09-2019 10:41:28.998 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Jeffer
27-09-2019 10:41:28.999 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Randyx
27-09-2019 10:41:29.000 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Robertxxx
27-09-2019 10:41:29.001 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Forlan
27-09-2019 10:41:29.002 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Alejandro
27-09-2019 10:41:29.004 [nioEventLoopGroup-2-2] INFO  c.e.s.a.c.StudentRestController.lambda$1 - Gonzalo
